Disc,TrackStart,TrackEnd,Work,Composer,Conductor,Orchestra,Year,Movements
50,8,8,"Fantasia on Hungarian Folk Melodies for Piano and Orchestra, S 123: Vivace assai - Prestissimo",Franz Liszt,Eugene Ormandy,The Philadelphia Orchestra,1952,1
50,9,11,"Concerto for Piano and Orchestra no. 3 in C minor, op. 37",Ludwig van Beethoven,Eugene Ormandy,The Philadelphia Orchestra,1947,3
51,1,4,"Symphony no. 7 in C-sharp minor, op. 131",Сергей Сергеевич Прокофьев,Eugene Ormandy,The Philadelphia Orchestra,1953,4
51,5,5,Romeo and Juliet: Andante non tanto quasi Moderato - Allegro giusto - Moderato assai,Пётр Ильич Чайковский,Eugene Ormandy,The Philadelphia Orchestra,1953,1
51,6,6,"1812 Festival Orchestra, op. 49: Largo - Andante - Allegro giusto - Largo - Allegro vivace",Пётр Ильич Чайковский,Eugene Ormandy,The Philadelphia Orchestra,1951,1
51,7,7,"Slavonic March, op. 31: Moderato in modo di marcia funebre - Più mosso. Allegro - Andante molto maestoso - Allegro risoluto",Пётр Ильич Чайковский,Eugene Ormandy,The Philadelphia Orchestra,1951,1
52,1,1,Die Fledermaus,Johann Strauss,Eugene Ormandy,The Philadelphia Orchestra,1952,1
52,2,2,Pizzicato-Polka,Johann Strauss,Eugene Ormandy,The Philadelphia Orchestra,1952,1
52,3,3,"Unter Donner und Blitz, op. 324 (Polka schnell)",Johann Strauss,Eugene Ormandy,The Philadelphia Orchestra,1952,1
52,4,4,"Tik-Tak-Polka, op. 365 (Polka schnell)",Johann Strauss,Eugene Ormandy,The Philadelphia Orchestra,1952,1
52,5,5,"Ägyptischer Marsch, op. 335",Johann Strauss,Eugene Ormandy,The Philadelphia Orchestra,1952,1
52,6,6,Das Spitzentuch der Königin,Johann Strauss,Eugene Ormandy,The Philadelphia Orchestra,1952,1
52,7,7,"Explosions-Polka, op. 43",Johann Strauss,Eugene Ormandy,The Philadelphia Orchestra,1952,1
52,8,8,"Annen-Polka, op. 117",Johann Strauss,Eugene Ormandy,The Philadelphia Orchestra,1952,1
52,9,9,"Tritsch-Tratsch-Polka, op. 214 (Polka schnell)",Johann Strauss,Eugene Ormandy,The Philadelphia Orchestra,1952,1
52,10,10,"Radetzky-Marsch, op. 228",Johann Strauss,Eugene Ormandy,The Philadelphia Orchestra,1952,1
52,11,11,Waldmeister: Overture,Johann Strauss,Eugene Ormandy,The Philadelphia Orchestra,1953,1
53,1,15,Tableaux d’une exposition,Модест Петрович Мусоргский,Eugene Ormandy,The Philadelphia Orchestra,,15
53,16,21,"L’Oiseau de feu, suite de 1919",Игорь Фёдорович Стравинский,Eugene Ormandy,The Philadelphia Orchestra,1953,6
54,1,1,"The Nutcracker (suite from the ballet), op. 71a",Пётр Ильич Чайковский,Eugene Ormandy,The Philadelphia Orchestra,1953,1
54,2,7,"The Nutcracker (suite from the ballet), op. 71a: II. Danses caractéristiques",Пётр Ильич Чайковский,Eugene Ormandy,The Philadelphia Orchestra,1953,6
54,8,8,"The Nutcracker (suite from the ballet), op. 71a",Пётр Ильич Чайковский,Eugene Ormandy,The Philadelphia Orchestra,1953,1
54,9,13,"The Sleeping Beauty, op. 66a",Пётр Ильич Чайковский,Eugene Ormandy,The Philadelphia Orchestra,1952,5
55,1,1,"Tristan und Isolde, WWV 90: Akt I",Richard Wagner,Eugene Ormandy,The Philadelphia Orchestra,1952,1
55,2,2,Tristan und Isolde: Liebesnacht,Eugene Ormandy,Eugene Ormandy,The Philadelphia Orchestra,1952,1
55,3,3,"Tristan und Isolde, WWV 90: Akt III, Szene III. ""Kurwenal! Hör'! Ein zweites Schiff""",Richard Wagner,Eugene Ormandy,The Philadelphia Orchestra,1952,1
55,4,4,"Götterdämmerung, WWV 86D: Akt III, Scene II ""Hoiho?"" - ""Hoiho!""",Richard Wagner,Eugene Ormandy,The Philadelphia Orchestra,1952,1
55,5,5,"Götterdämmerung, WWV 86D: Akt III, Scene III ""War das sein Horn?""",Richard Wagner,Eugene Ormandy,The Philadelphia Orchestra,1952,1
56,1,3,Mathis der Maler,Paul Hindemith,Eugene Ormandy,The Philadelphia Orchestra,1952,3
56,4,9,"Konzertmusik für Streichorchester und Blechbläser, op. 50",Paul Hindemith,Eugene Ormandy,The Philadelphia Orchestra,1953,6
57,1,4,"Sinfonie Nr. 2 D-Dur, op. 73",Johannes Brahms,Eugene Ormandy,The Philadelphia Orchestra,1953,4
58,1,5,"Каприччио на испанские темы, op. 34",Николай Андреевич Римский‐Корсаков,Eugene Ormandy,The Philadelphia Orchestra,1953,5
